Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_2 4 (Omykiss),Movement 38,0:00:03:12.00/60000,192,25.387087,-6.250544,-6.618274,0.014523,1.362372,81.359528,
Subsample_2 4 (Omykiss),Movement 40,0:00:03:18.00/60000,198,25.112104,-6.258446,-6.512427,0.013109,0.427507,81.269653,
Subsample_2 4 (Omykiss),Movement 41,0:00:03:21.00/60000,201,25.273546,-6.187689,-6.626878,0.013997,0.413227,81.405937,
Subsample_2 4 (Omykiss),Movement 43,0:00:03:27.00/60000,207,25.438595,-5.796387,-6.844685,0.015069,0.441744,81.865875,
Subsample_2 4 (Omykiss),Movement 42,0:00:03:24.00/60000,204,25.488289,-6.223936,-6.522981,0.01495,1.012175,81.338875,
Subsample_2 4 (Omykiss),Movement 44,0:00:03:30.00/60000,210,25.232548,-6.08121,-6.599236,0.013813,0.83556,81.475525,
Subsample_2 4 (Omykiss),Length 45,0:00:03:30.00/60000,210,25.283672,-6.128588,-6.622306,0.01406,0.853925,81.453476,
Subsample_2 4 (Omykiss),Length 47,0:00:03:24.00/60000,204,17.161369,-5.298395,-7.940534,0.018377,2.593914,82.531822,
Subsample_2 4 (Omykiss),Length 46,0:00:03:15.00/60000,195,17.049896,-4.864712,-8.400171,0.015799,2.875562,83.149071,
Subsample_2 4 (Omykiss),Length 46,0:00:03:15.00/60000,195,25.257629,-6.254994,-6.519464,0.013822,0.267437,81.289619,
Subsample_2 4 (Omykiss),Length 45,0:00:03:30.00/60000,210,16.833511,-5.277394,-8.113685,0.019331,1.771197,82.648987,
Subsample_2 4 (Omykiss),Length 47,0:00:03:24.00/60000,204,25.540571,-6.164856,-6.577202,0.015251,0.901615,81.422653,
Subsample_3 5 (Omykiss),Movement 48,0:00:04:00.00/60000,240,25.34897,-6.085543,-6.666592,0.014419,1.223637,81.519569,
Subsample_3 5 (Omykiss),Movement 49,0:00:04:03.00/60000,243,25.42646,-6.00393,-6.764069,0.014888,0.53761,81.648079,
Subsample_3 5 (Omykiss),Movement 51,0:00:04:09.00/60000,249,25.197002,-6.381316,-6.456826,0.013444,1.328031,81.144722,
Subsample_3 5 (Omykiss),Movement 50,0:00:04:06.00/60000,246,25.363958,-6.050051,-6.71226,0.014537,0.502978,81.575508,
Subsample_3 5 (Omykiss),Movement 52,0:00:04:12.00/60000,252,25.156748,-6.35066,-6.520384,0.013298,0.317233,81.201401,
